text,label
a gushy episode of m a s h only this time from an asian perspective,0
"a riveting profile of law enforcement , and a visceral , nasty journey into an urban hades",1
"what 's the most positive thing that can be said about the new rob schneider vehicle \? well , it 's not as pathetic as the animal",0
"the movie , despite its rough edges and a tendency to sag in certain places , is wry and engrossing",1
"the streets , shot by cinematographer michael ballhaus , may be as authentic as they are mean , but it is nearly impossible to care about what happens on them",0
friday after next is a lot more bluster than bite,0
staggers between flaccid satire and what is supposed to be madcap farce,0
'alice 's adventure through the looking glass and into zombie land' is filled with strange and wonderful creatures,1
"blue crush has all the trappings of an energetic , extreme sports adventure , but ends up more of a creaky pretty woman retread , with the emphasis on self empowering schmaltz and big wave surfing that gives pic its title an afterthought",0
"a solid , well formed satire",1
"though of particular interest to students and enthusiast of international dance and world music , the film is designed to make viewers of all ages , cultural backgrounds and rhythmic ability want to get up and dance",1
reggio and glass put on an intoxicating show,1
i found the movie as divided against itself as the dysfunctional family it portrays,0
the picture emerges as a surprisingly anemic disappointment,0
"scene by scene , things happen , but you 'd be hard pressed to say what or why",0
the film apparently takes place in a fantasy world where people in hotel hallways recite poetry in voice over instead of speaking to each other,0
predictably melodramatic,0
cq 's reflection of artists and the love of cinema and self suggests nothing less than a new voice that deserves to be considered as a possible successor to the best european directors,1
more concerned with sade 's ideas than with his actions the movie achieves as great an impact by keeping these thoughts hidden as quills did by showing them,1
"adults will certainly want to spend their time in the theater thinking up grocery lists and ways to tell their kids how not to act like pinocchio as for children , they wo n't enjoy the movie at all",0
"i'm not suggesting that you actually see it , unless you 're the kind of person who has seen every wim wenders film of the '70s",0
"it has the charm of the original american road movies , feasting on the gorgeous , ramshackle landscape of the filmmaker 's motherland",1
it 's sweet but just a little bit too precious at the start and a little too familiar at the end,0
"an enjoyable , if occasionally flawed , experiment",1
"national lampoon 's van wilder may aim to be the next animal house , but it more closely resembles this year 's version of tomcats",0
"if there 's one thing this world needs less of , it 's movies about college that are written and directed by people who could n't pass an entrance exam",0
lazily directed by charles stone iii from a leaden script by matthew cirulnick and novelist thulani davis,0
forget the psychology 101 study of romantic obsession and just watch the procession of costumes in castles and this wo n't seem like such a bore,0
"a movie that , rather than skip along the seine , more or less slogs its way through soggy paris , tongue uncomfortably in cheek",0
"this miserable excuse of a movie runs on empty , believing flatbush machismo will get it through",0
"a terrific date movie , whatever your orientation",1
